MANufACTuRERS NAME,BuSINESS NAME,STATE.0,DATE Of ACCIDENT,Time of Accident,PM,VEhICLE YEAR,MAkE,MODEL,STATE VEhICLE IS REGISTERED IN,section 2  accident infoRmation.0,section 2  accident infoRmation.1.0,section 2  accident infoRmation.1.1.0,section 2  accident infoRmation.1.1.1.0,section 2  accident infoRmation.1.1.1.1,Stopped in Traffic,NuMBER Of VEhICLES INVOLVED,None,MODEL_2,Moving_2,NuMBER Of VEhICLES INVOLVED_2,ADDRESS_2.1.0.1,Conventional Mode,WEATHER A 1,WEATHER A 2,LIGHTING A 1,LIGHTING A 2,ROADWAY A 1,ROADWAY A 2,ROAD CONDITIONS D 1,ROAD CONDITIONS D 2,MOVEMENT A 1,MOVEMENT  I 2,TYPE B 1,TYPE B 2,PROGRAM DIRECTORAuThORIZED REPRESENTATIVE PRINTED NAME AND TITLE,DATE SIGNED,source_file,AM,minor,Left Front Corner 1,Left Front Corner 3,VEhICLE YEAR_2,STATE VEhICLE IS REGISTERED IN_2,STATE_2,ROAD CONDITIONS H 1,ROAD CONDITIONS H 2,MOVEMENT  G 2,TYPE A 1,TYPE C 2,Right Rear 1,Right Rear 3,LIGHTING C 1,LIGHTING C 2,TYPE C 1,Moving,Moderate,Front Bumper,Right Front Corner 3,WEATHER B 1,WEATHER B 2,MOVEMENT  B 1,MOVEMENT  D 2,TYPE D 2,Right Rear Passenger 2,Front Passenger Side 4,Autonomous Mode,MOVEMENT  D 1,TYPE E 1,Left Rear 1,Passenger,Rear Bumper,MOVEMENT A 2,Injured,Passenger_2,MOVEMENT  B 2,TYPE A 2,Bicyclist,Right Front Corner 2,MOVEMENT  M 2,Left Rear 2,Left Rear Passenger 1,MOVEMENT  E 2,Front Driver Side 3,WEATHER C 1,WEATHER C 2,ROADWAY B 1,ROADWAY B 2,MOVEMENT  L 2,TYPE D 1,undefined,Other,TYPE H 1,OTHER A NO,OTHER H NO,OTHER J,CITY_2.1.1.0,Injured_2,Driver,MOVEMENT  E 1,MOVEMENT  R 2,STATE_4.0,ZIP CODE_2.0,Left Front Corner 2,Right Front Corner 1,Right Rear Passenger 4,undefined_2,Other_2,OTHER A YES,Left Rear Passenger 3,Bicyclist_2,MOVEMENT  K 2,MOVEMENT  O 1,MOVEMENT  H 2,ROAD CONDITIONS E 2,ROAD CONDITIONS G 2,OTHER E,Proper ty_2,MOVEMENT J 1,DRIVERS fuLL NAME First Middle last_2,MOVEMENT  H 1,Right Rear 2,INSuRANCE COMPANY NAME OR SuRETY COMPANY AT TIME Of ACCIDENT_2,MOVEMENT  L 1,MOVEMENT  G 1,MOVEMENT  O 2,LIGHTING B 1,LIGHTING B 2,MOVEMENT  K 1,Front Passenger Side 2,Front Driver Side 1,MOVEMENT  N 2,Stopped in Traffic_2,MOVEMENT J 2,Bicyclist_3,OTHER C,TYPE H 2,WEATHER E 1,WEATHER E 2,major,OTHER K,MOVEMENT  Q 2,OTHER D
Waymo LLC,Waymo LLC,CA,8/31/2021,5:43,/ ,2021,Jaguar,I-Pace,CA,Cook Street and Geary Street,San Francisco,San Francisco,CA,94118,,2,,Toyota Yaris,,2,"On August 31, 2021 at 5:41 PM PDT, Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving an unoccupied parked passenger vehicle at 20 Cook Street. While performing a multipoint turn at the north end of Cook Street (a dead-end road), the Waymo AV was in reverse at approximately 2 MPH when it made contact with the front driver’s side door of an unoccupied parked passenger vehicle. The Waymo AV was in autonomous mode until just before making contact, when the test driver transitioned the Waymo AV into manual mode. The contact caused minor scuffing and a small dent in the door handle of the parked vehicle’s driver door and minor damage to the plastic sensor housing on the Waymo AV’s rear passenger’s side.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,Karen Isgrigg,09/10/2021,Waymo-OL316_083121_Redacted-2.pdf,,/Yes,,,,CA,,/Yes,/Yes,,,,/Yes,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ ,Parked,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,09/02/2021,1:56,,2021,Jaguar,I-Pace,CA,8th Avenue at Lake Street,San Francisco,San Francisco,CA,94118,,2,,Nissan,,2,"On September 2, 2021 at 1:56 AM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving an unoccupied parked passenger vehicle at the north end of 8th Avenue (a dead-end road). While performing a multipoint turn in autonomous mode, the Waymo AV was reversing at approximately 2 MPH when it made contact with the rear tail light of an unoccupied parked passenger vehicle. The contact caused a small break in the tail light cover of the parked vehicle and minor damage to the rear bumper of the Waymo AV.",,/Yes,/Yes,,,/Yes,/Yes,,,,,,,Karen Isgrigg,09/10/2021,Waymo-OL316_090221_Redacted.pdf,/ ,/Yes,,,,CA,,/Yes,/Yes,,,,/Yes,,/Yes,/Yes,,/ ,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,/ ,Parked,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,9/16/2021,5:14,/ ,2021,Jaguar,I-Pace,CA,Industrial Street and Palou Avenue,San Francisco,San Francisco,CA,94124,,2,,,/ ,2,"On September 16, 2021 at 5:14 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Palou Avenue and Selby Avenue. While making a left turn from Palou Avenue onto Selby Avenue in manual mode, the Waymo AV was struck by a passenger vehicle attempting to pass the Waymo AV on the left side using the oncoming traffic lane. The Waymo AV sustained minor damage to the left front fender. The other vehicle left the scene without exchanging information.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,/Yes,,/Yes,Karen Isgrigg,9/24/2021,Waymo-OL316_091621_Redacted.pdf,,/Yes,/Yes,,,,,/Yes,/Yes,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,09/17/2021,12:30,/ ,2021,Jaguar,I-Pace,CA,York Street and Cesar Chavez,San Francisco,San Francisco,CA,94110,/ ,2,,,/ ,2,"On September 17, 2021 at 12:30 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at York Street and Cesar Chavez. The Waymo AV was waiting to turn right onto Cesar Chavez in autonomous mode when the driver transitioned to manual mode. A passenger vehicle was in the process of completing a right turn from Cesar Chavez onto York Street and made contact with the front left fender of the stopped Waymo AV, before proceeding straight through the narrow roadway. The Waymo sustained minor damage to the fender. The other vehicle left the scene without exchanging information.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,/Yes,Karen Isgrigg,9/27/2021,Waymo-OL316_091721_Redacted-1.pdf,,/Yes,/Yes,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,09/17/2021,11:39,,2021,Jaguar,I-Pace,CA,444 Washington Street,San Francisco,San Francisco,CA,94111,/ ,2,,Nissan Maxima,/ ,2,"On September 17, 2021 at 11:39 AM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on the 400 block of Washington Street. While in autonomous mode, the Waymo AV was stopped behind a double-parked passenger vehicle in the right-hand lane of traffic with slow-moving (same directional) traffic to its left. The driver of the Waymo AV transitioned the vehicle to manual mode and initiated a lane change into the congested left-hand lane. Before the driver of the Waymo AV could complete this maneuver, the passenger vehicle in front of the Waymo AV shifted into reverse and proceeded to make contact with the rear right sensor of the Waymo AV. Both vehicles sustained minor damage. ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,/Yes,Karen Isgrigg,9/20/2021,Waymo-OL316_091721_Redacted-2.pdf,/ ,/Yes,,,2017,CA,CA,/Yes,/Yes,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/07/2021,11:12,/ ,2021,Jaguar,I-Pace,CA,Mission St and Highland Ave,San Francisco,San Francisco,CA,94110,/ ,2,,Unknown,/ ,2,"On October 4, 2021 at 11:12 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Mission Street and Highland Street. While operating in manual mode, a Waymo AV was waiting at a red light facing southbound on Mission Street when a passenger vehicle approached from behind and made contact with the right rear sensor housing of the Waymo AV. The Waymo AV sustained minor damage to the sensor housing.The passenger vehicle left the scene.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,/Yes,"Karen Isgrigg, Program Manager",10/15/2021,Waymo-OL316_100721_Redacted.pdf,,/Yes,,,,,,/Yes,/Yes,,,,/Yes,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/8/2021,8:39,,2021,Jaguar,I-Pace,CA,301 Ellsworth Street,San Francisco,San Francisco,CA,94110,,2,,Mazda 3,,2,"On October 8, 2021 at 8:39 AM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Ellsworth Street and Jarboe Avenue. While operating in manual mode, the driver of the Waymo AV pulled into the right parking lane to park. In the process, the Waymo AV made contact with the bumper of a parked vehicle. Both vehicles sustained minor bumper damage. ",/ ,,,,,/Yes,/Yes,,,,,,,"Karen Isgrigg, Program Manager",10/18/2021,Waymo-OL316_100821_Redacted-1.pdf,/ ,/Yes,,,,CA,,/Yes,/Yes,,/Yes,,,,,,,/ ,,/Yes,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ ,Parked,,,,,,,,,,,,,,,,,,/Yes,/Yes,/Yes,/Yes,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/8/2021,6:39,/ ,2021,Jaguar,I-Pace,CA,4423 Mission Street,San Francisco,San Francisco,CA,94112,/ ,2,,Kia Optima,/ ,2,"On October 8, 2021 at 6:39 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Mission Street at Avalon Avenue. While traveling northwest on Mission Street in autonomous mode, the Waymo AV navigated around a double-parked vehicle stopped in the right lane. After re-entering the right lane, the Waymo AV came to a complete stop behind a second passenger vehicle, at which time the driver of the Waymo AV transitioned into manual mode.  The second passenger vehicle reversed into the Waymo AV, making contact with its front bumper. Both vehicles sustained minor bumper damage. ",/ ,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",10/18/2021,Waymo-OL316_100821_Redacted-2.pdf,,/Yes,,,2014,CA,CA,/Yes,/Yes,/Yes,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/18/2021,12:57,/ ,2021,Jaguar,I-Pace,CA,Cesar Chavez and Evans Avenue,San Francisco,San Francisco,CA,94124,,2,,Mitsubishi Outlander Sport ES/S,/ ,2,"On October 18, 2021 at 12:57 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV at Cesar Chavez and Evans Avenue. As the Waymo AV approached a right turn from Cesar Chavez onto Evans Avenue, it braked behind stopped traffic. An SUV following behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present in the driver’s seating position. The Waymo AV sustained minor damage to its rear bumper and trunk, and the SUV sustained minor damage to its front bumper and hood.",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_101821_Redacted.pdf,,/Yes,,,2020,NV,CA,/Yes,/Yes,,,/Yes,/Yes,,,,,/ ,,,,,,,,,,,/ ,,,/Yes,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/19/2021,12:33,/ ,2021,Jaguar,I-Pace,CA,California Street and Jordan Avenue,San Francisco,San Francisco,CA,94118,,2,,Toyota Corolla ,/ ,2,"On October 19, 2021 at 12:33 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger car on California Street between Jordan Avenue and Cherry Street. While in manual mode and stopped behind traffic waiting to make an unprotected left turn from California Street onto Cherry Street, the Waymo AV test driver attempted to make a right lane change to proceed around its stopped lead vehicle, and made contact with a passenger vehicle traveling in the right adjacent lane. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained minor damage to its front passenger side bumper corner and sensor hardware, and the passenger vehicle sustained moderate scraping and denting on the driver’s side rear passenger door.  ",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,,,,/Yes,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_101921_Redacted.pdf,,/Yes,,,2016,CA,CA,/Yes,/Yes,,,,,,,,,/ ,,,/Yes,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/21/2022,1:55,/ ,2021,Jaguar,I-Pace,CA,Larkin Street and O'Farrell Street ,San Francisco,San Francisco,CA,94109,,2,,Chevrolet Malibu,/ ,2,"On October 21, 2021 at 1:55 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving a passenger vehicle at Larkin Street and O'Farrell Street.While in manual mode, the Waymo AV was slowly approaching stopped traffic ahead when a vehicle in the right adjacent lane started reversing into a parallel parking space. In the process,  the front left bumper of the passenger vehicle scraped the right side panels and bumper of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained minor damage.",/ ,,,/Yes,/Yes,,,,,,,,/Yes,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_102121_Redacted.pdf,,/Yes,,,2020,CA,VA,/Yes,/Yes,/Yes,,,,/Yes,,,,/ ,,,,/Yes,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,/Yes,,,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,/Yes,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/27/2021,3:54,/ ,2021,Jaguar,I-Pace,CA,Bayshore Blvd and Flower Street,San Francisco,San Francisco,CA,94124,/ ,2,,Chevrolet Silverado,/ ,2,"On October 27, 2021 at 3:54 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco was in a collision involving a passenger vehicle at Flower Street and Bayshore Avenue. While in manual mode, the operator of the Waymo AV was at a complete stop while yielding to traffic approaching from the left, waiting to make a left turn onto Bayshore Avenue from northwest Flower Street.  A passenger vehicle approached from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. Both vehicles sustained minor damage.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_102721_Redacted.pdf,,/Yes,,,2009,CA,,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,10/28/2021,9:35,/ ,2021,Jaguar,I-Pace,CA,Silver Avenue and Bayshore Blvd.,San Francisco,San Francisco,CA,94124,,2,,,/ ,2,"On October 28, 2021 at 9:35 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a van at Silver Avenue at Bayshore Boulevard. The Waymo AV, while in autonomous mode, was waiting to make a left turn from Silver Avenue onto Bayshore Boulevard and yielding to oncoming traffic, when the test driver (in the driver’s seating position) transitioned to manual mode and proceeded with a left turn manually. During the left turn, an approaching van made contact with the front bumper of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained minor damage to its front bumper, and the van sustained minor damage to its front bumper.",/ ,/Yes,/Yes,,,/Yes,/Yes,,,,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_102821_Redacted.pdf,,/Yes,,/Yes,,,,/Yes,/Yes,,/Yes,,,,/Yes,/Yes,,/ ,,,,,,,,,,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/4/2021,6:41:00,,2021,Jaguar,I-Pace,CA,Green Street at Icehouse Alley,San Francisco,San Francisco,CA,94111,,1,,,,,"On November 4, 2021 at 6:41 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA made contact with a fixed object at the intersection of Icehouse Alley and Green Street.  The Waymo AV was traveling eastbound on Green Street when the vehicle approached a partially covered manhole. The manhole cover made contact with the underside of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the underside of the car. ",,/Yes,,,,/Yes,,,,,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_110421_Redacted.pdf,/ ,/Yes,,,,,,/Yes,,,,,,,/Yes,,,/ ,,,,,,/Yes,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,/ ,manhole cover,/Yes,,,,,,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/6/2021,1:50:00,,2021,Jaguar,I-Pace,CA,Waller St at Alpine Terrace,San Francisco,San Francisco,CA,94117,/ ,2,,Toyota Scion TC,/ ,2,"On November 6, 2021 at 1:50 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Waller Street at Alpine Terrace. The Waymo AV was traveling westbound on Waller Street when it yielded to an oncoming passenger vehicle. As the passenger vehicle passed the stopped Waymo AV, its driver side rearview mirror made contact with a Waymo AV sensor. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,/Yes,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_110621_Redacted-1.pdf,/ ,/Yes,,,2009,CA,CA,/Yes,/Yes,,,,,,/Yes,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/6/2021,4:28,/ ,2021,Jaguar,I-Pace,CA,Powell Street and Pacific Avenue,San Francisco,San Francisco,CA,94133,/ ,2,,Honda,/ ,2,"On November 6, 2021 at 4:28 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Powell Street at Pacific Avenue. The Waymo AV was traveling in autonomous mode southbound on Powell Street when it activated its right turn signal and prepared to make a right turn onto Pacific Avenue. The Waymo AV stopped to yield to a pedestrian who was in the adjacent crosswalk on Pacific Avenue. A passenger vehicle behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to its rear bumper, and the trailing passenger vehicle sustained minor damage to its front bumper.",,,,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_110621_Redacted-2.pdf,,/Yes,,,2009,CA,CA,/Yes,/Yes,,,/Yes,,,,,,,,,,/Yes,/Yes,,,,,,/ ,,,,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/12/2021,1:23,/ ,2021,Jaguar,I-Pace,CA,Divisadero Street and Golden Gate Avenue,San Francisco,San Francisco,CA,94115,/ ,2,,Toyota Prius,/ ,2,"On November 12, 2021 at 1:23 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Divisadero Street at Turk Street. The Waymo AV was stopped at a red light on Divisadero Street at Turk Street. When the traffic light turned green, the passenger vehicle behind the Waymo AV made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage, and the trailing passenger vehicle sustained minor damage. ",,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_111221_Redacted.pdf,,/Yes,,,2013,CA,CA,/Yes,/Yes,,,/Yes,,,,,,,,,,,,,,,,,/ ,,,,,/Yes,,/ ,,/Yes,,,,,,,,,,,,,,,,,,,,,,,/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/15/2021,2:20,,2021,Jaguar,I-Pace,CA,40th Ave and Noriega Street,San Francisco,San Francisco,CA,94122,/ ,2,,Toyota Prius,/ ,2,"On November 15, 2021 at 2:20 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Noriega Street at 40th Avenue. The Waymo AV was stopped at a stop sign at Noriega Street at 40th Avenue when a passenger vehicle made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV’s rear bumper and undercarriage sustained moderate damage, and the passenger vehicle’s front bumper and hood sustained moderate damage.",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_111521_Redacted.pdf,/ ,,,,,,,/Yes,/Yes,,,/Yes,/Yes,,/Yes,/Yes,,,/Yes,,,,,,,,,,/ ,,,/Yes,,/Yes,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/20/2021,11:11,,2021,Jaguar,I-Pace,CA,Steiner Street and Post Street,San Francisco,San Francisco,CA,94115,/ ,2,,Buick Enclave,/ ,2,"On November 20, 2021 at 11:11 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV on the 1700 block of Steiner Street. The Waymo AV was in autonomous mode and traveling northbound on Steiner Street as it crossed the intersection at Post Street. An SUV then turned right from Post Street onto Steiner Street and began closely following the Waymo AV. The Waymo AV test driver then took manual control and stopped the Waymo AV. The SUV then stopped, reversed, and drove around the Waymo AV and made contact with the Waymo AV’s driver side rear fender. At the time of the impact the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained minor damage and the SUV left the scene without exchanging information.",/ ,/Yes,/Yes,/Yes,/Yes,/Yes,/Yes,,,/Yes,,,/Yes,"Karen Isgrigg, Program Manager",12/23/2021,Waymo-OL316_112021_Redacted.pdf,/ ,/Yes,,,,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Yes,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/25/2021,01:31,/ ,2021,Jaguar,I-Pace,CA,32nd Avenue and Taraval Street,San Francisco,San Francisco,CA,94116,,1,,,,,"On November 25, 2021 at 1:31 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA made contact with a curb at 32nd Avenue and Taraval Street. While in manual mode, the Waymo AV test driver was completing a right turn from northbound 32nd Avenue onto eastbound Taraval Street when the Waymo AV’s passenger side rear tire made contact with the curb at the corner of the intersection. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV’s passenger side rear tire and wheel sustained minor damage.",/ ,/Yes,,/Yes,,/Yes,,,,,,,,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_112521_Redacted.pdf,,/Yes,,,,,,/Yes,,,,,,,,,,/ ,,,,,,,,,/Yes,,,/Yes,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waymo LLC,Waymo LLC,CA,11/26/2021,8:02:00 ,/ ,2021,Jaguar,I-Pace,CA,"Scotia Ave, Thornton Ave, and Bridgeview Dr",San Francisco,San Francisco,CA,94124,/ ,2,,,/ ,2,"On November 26, 2021 at 8:02 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Scotia Avenue, Thornton Avenue, and Bridgeview Drive. The Waymo AV was traveling southbound on Scotia Avenue, a narrow road with vehicles parked on both sides, and approaching the intersection with Thornton Avenue and Bridgeview Drive. A passenger vehicle approaching from the right of the Waymo AV on eastbound Thornton Avenue made a left turn in front of the Waymo AV to head northbound on Scotia Avenue. The Waymo AV slowed to a near stop and nudged to its right in order to share the narrow road with the oncoming vehicle and then came to a stop at the stop sign as the oncoming vehicle completed its turn. At approximately 5 mph, the turning passenger vehicle made contact with Waymo AV’s sensor hardware housing on the driver side rear corner fender of the stopped Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage to the sensor hardware housing (which was the reason for towing the Waymo AV) and the passenger vehicle left the scene without exchanging information. ",,/Yes,/Yes,,,/Yes,/Yes,,,/Yes,,,/Yes,"Karen Isgrigg, Program Manager",12/30/2021,Waymo-OL316_112621_Redacted.pdf,,/Yes,,,,,,/Yes,/Yes,,,,,,/Yes,/Yes,,,,,,,,,,,,,/ ,,,,,,,,,,,,,,/Yes,,/Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
